Timestamp;PannoniaShrimp;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;cond 22371200;cond 22371200;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;spec 23510000;spec 23510000;spec 24400210;spec 24400210;Luftdruck;Luftdruck;ise 24181400;ise 24181400;ise 20251300;ise 20251300;cond 22371200;cond 22371200;ise 24181400;ise 24181400;oxi 11923;oxi 11923;ise 20251300;ise 20251300;spec 24400210;spec 24400210
Measurement interval=120[sec] (Export-Aggregation disabled);Status;Trübung - Messwert [NTUeq] (Limit:0.00-200.00_Coefs:0.50 1.00 0.00 0.00);Status [Trübung - Messwert];TURBest - FTU (39) - Messwert [FTU] (Limit:0.00-200.00_Coefs:0.00 1.00 0.00 0.00);Status [TURBest - FTU (39) - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-15.00_Coefs:1.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];NO3-Neq - Messwert [mg/l] (Limit:0.00-14.00_Coefs:0.00 1.00 0.00 0.00);Status [NO3-Neq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-30.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];TOCeq - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [TOCeq - Messwert];Chl-A - Messwert [µg/l] (Limit:0.00-100.00_Coefs:30.00 1.00 0.00 0.00);Status [Chl-A - Messwert];NO2-Neq - Messwert [mg/l] (Limit:0.00-5.70_Coefs:0.00 1.00 0.00 0.00);Status [NO2-Neq - Messwert];Leitfähigkeit - Messwert [uS/cm] (Limit:0.10-600000.00);Status [Leitfähigkeit - Messwert];pH - Messwert (Limit:0.00-14.00_Coefs:-5.34 0.95 0.00 0.00);Status [pH - Messwert];gelöster Sauerstoff - Messwert [ppm] (Limit:0.00-25.00);Status [gelöster Sauerstoff - Messwert];ORP - Messwert [mV] (Limit:-2000.00-2000.00_Coefs:0.00 1.00 0.00 0.00);Status [ORP - Messwert];Salinity - Messwert [psu] (Limit:2.00-42.00);Status [Salinity - Messwert];UV254t - Messwert [Abs/m] (Limit:0.00-71.00_Coefs:0.00 1.00 0.00 0.00);Status [UV254t - Messwert];HS- - Messwert [mg/l] (Limit:0.00-2.57_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];HS- - Messwert [mg/l] (Limit:0.00-5.10_Coefs:0.00 1.00 0.00 0.00);Status [HS- - Messwert];BTXest - Messwert [mg/l] (Limit:0.00-51.43_Coefs:25.00 1.00 0.00 0.00);Status [BTXest - Messwert];Ozone - Messwert [mg/l] (Limit:0.00-25.00_Coefs:0.00 1.00 0.00 0.00);Status [Ozone - Messwert];Luftdruck - Messwert [bar] (Limit:0.00-10.00);Status [Luftdruck - Messwert];pH-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [pH-mV - Messwert];ORP-mV - Messwert [mV] (Limit:-3300.00-3300.00_Coefs:0.00 0.00 0.00 0.00);Status [ORP-mV - Messwert];Temperatur - Messwert [°C] (Limit:-20.00-130.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:-1.70 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperatur - Messwert [°C] (Limit:0.00-50.00);Status [Temperatur - Messwert];Temperatur - Messwert [C] (Limit:-5.00-100.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperatur - Messwert];Temperature - °C (26) - Messwert [°C] (Limit:0.00-45.00_Coefs:0.60 1.00 0.00 0.00);Status [Temperature - °C (26) - Messwert]
2024-11-07 02:46:00;Error 0x0010;14.66;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.26;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.23;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;41.55;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23910;Ok 0x0000.0000.0000.0000;8.95;Ok 0x0000.0000.0000.0000;11.80;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.81;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.66;Ok 0x0000.0000.0000.0000;110.5;Ok 0x0000.0000.0000.0000;348.3;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;14.0;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 02:48:00;Error 0x0010;14.56;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.30;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.22;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;37.27;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23906;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.79;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.00;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;12.89;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.66;Ok 0x0000.0000.0000.0000;110.4;Ok 0x0000.0000.0000.0000;348.3;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;14.0;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 02:50:00;Error 0x0010;14.52;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.27;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.24;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;37.18;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23911;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.78;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.01;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;12.80;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.66;Ok 0x0000.0000.0000.0000;110.4;Ok 0x0000.0000.0000.0000;348.3;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;14.0;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 02:52:00;Error 0x0010;14.56;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.27;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.24;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;38.26;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23913;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.78;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.89;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.4;Ok 0x0000.0000.0000.0000;348.3;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;14.0;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 02:54:00;Error 0x0010;14.65;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.28;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.23;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;39.81;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23907;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.78;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.00;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;12.74;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.4;Ok 0x0000.0000.0000.0000;348.3;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;14.0;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 02:56:00;Error 0x0010;14.58;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.28;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.24;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;37.87;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23905;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.77;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.82;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.4;Ok 0x0000.0000.0000.0000;348.3;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 02:58:00;Error 0x0010;14.67;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.28;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.24;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;40.60;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23902;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.76;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.40;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.00;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;12.91;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.4;Ok 0x0000.0000.0000.0000;348.3;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:00:00;Error 0x0010;14.86;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.26;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.24;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;40.94;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23906;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.75;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.90;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.4;Ok 0x0000.0000.0000.0000;348.4;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;14.0;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:02:00;Error 0x0010;14.77;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.30;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.25;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;39.50;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23901;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.74;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.40;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.00;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;12.96;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.66;Ok 0x0000.0000.0000.0000;110.3;Ok 0x0000.0000.0000.0000;348.4;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;14.4;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:04:00;Error 0x0010;14.51;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.30;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.23;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;35.98;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23903;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.75;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.40;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;13.06;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.3;Ok 0x0000.0000.0000.0000;348.4;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;14.0;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:06:00;Error 0x0010;14.54;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.27;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.22;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;41.01;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23900;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.76;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.40;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.70;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.3;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:08:00;Error 0x0010;14.53;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.29;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.25;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;34.58;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23900;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.74;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.40;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.01;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;12.63;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.3;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:10:00;Error 0x0010;14.49;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.29;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.25;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;35.07;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23901;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.74;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.40;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;0.00;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;12.43;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.3;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:12:00;Error 0x0010;14.66;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.28;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.23;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;41.28;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23911;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.73;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.02;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;13.00;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.3;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:14:00;Error 0x0010;14.58;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.29;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.24;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;37.93;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23914;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.73;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.41;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.00;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.73;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.3;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:16:00;Error 0x0010;14.72;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.30;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.23;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;40.15;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23918;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.71;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.42;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.89;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.2;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:18:00;Error 0x0010;14.74;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.27;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.25;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;39.87;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23916;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.72;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.42;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.70;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.2;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:20:00;Error 0x0010;14.66;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.28;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.24;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;39.15;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23931;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.71;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.43;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.72;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.2;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:22:00;Error 0x0010;14.59;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.27;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.25;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;37.80;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23931;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.70;Ok 0x0000.0000.0000.0000;349;Ok 0x0000.0000.0000.0000;18.43;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.73;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;4.65;Ok 0x0000.0000.0000.0000;110.2;Ok 0x0000.0000.0000.0000;348.6;Ok 0x0000.0000.0000.0000;13.8;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
2024-11-07 03:24:00;Error 0x0010;14.93;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;1.27;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;11.32;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;37.77;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;23927;Ok 0x0000.0000.0000.0000;8.94;Ok 0x0000.0000.0000.0000;11.70;Ok 0x0000.0000.0000.0000;348;Ok 0x0000.0000.0000.0000;18.43;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;-0.01;Ok 0x0000.0000.8001.0000;NaN;Error 0x0011.0000.0000.0000;12.52;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000;3.94;Ok 0x0000.0000.0000.0000;110.2;Ok 0x0000.0000.0000.0000;348.3;Ok 0x0000.0000.0000.0000;13.7;Ok 0x0000.0000.0000.0000;13.9;Ok 0x0000.0000.0000.0000;13.6;Ok 0x0000.0000.0000.0000;14.3;Ok 0x0000.0000.0000.0000;NaN;Error 0x0011.0000.0000.0000
